epoch,ssl_loss
1.0,1.4292302131652832
2.0,1.414435863494873
3.0,1.3976311683654785
4.0,1.370803952217102
5.0,1.3657695055007935
6.0,1.3579967021942139
7.0,1.3382794857025146
8.0,1.3113696575164795
9.0,1.2927275896072388
10.0,1.2446956634521484
11.0,1.1735150814056396
12.0,1.103878140449524
13.0,0.9940522909164429
14.0,0.8468188643455505
15.0,0.7425068020820618
16.0,0.5900090932846069
17.0,0.45310044288635254
18.0,0.39497947692871094
19.0,0.20571574568748474
20.0,0.15951299667358398
21.0,0.10709789395332336
22.0,0.08131743222475052
23.0,0.08094650506973267
24.0,0.10847140103578568
25.0,0.1416364461183548
26.0,0.08072704821825027
27.0,0.0873108059167862
28.0,0.0325874499976635
29.0,0.09187334030866623
30.0,0.056880585849285126
31.0,0.0597057044506073
32.0,0.08142891526222229
33.0,0.05553097277879715
34.0,0.044137973338365555
35.0,0.014155568554997444
36.0,0.008130887523293495
37.0,0.0029040174558758736
38.0,0.3362858295440674
39.0,0.005308939144015312
40.0,0.012043999508023262
41.0,0.022984851151704788
42.0,0.025825655087828636
43.0,0.008103941567242146
44.0,0.017930181697010994
45.0,0.18457341194152832
46.0,0.04986344650387764
47.0,0.01952783204615116
48.0,0.21359169483184814
49.0,0.3593336343765259
50.0,0.0027429265901446342
51.0,0.0008289539837278426
52.0,0.07175365090370178
53.0,0.6657430529594421
54.0,0.12567736208438873
55.0,0.07566136866807938
56.0,0.2267194539308548
57.0,0.21409457921981812
58.0,0.022021370008587837
59.0,0.03161201998591423
60.0,0.16840939223766327
