epoch,ssl_loss
1.0,1.3906511068344116
2.0,3.41184663772583
3.0,1.392582654953003
4.0,1.680925726890564
5.0,1.4814702272415161
6.0,1.390493392944336
7.0,1.4132039546966553
8.0,1.3846486806869507
9.0,1.5044951438903809
10.0,1.3807586431503296
11.0,1.5031402111053467
12.0,1.4543086290359497
13.0,1.3551326990127563
14.0,1.4005500078201294
15.0,1.3509416580200195
16.0,1.3273208141326904
17.0,1.3244422674179077
18.0,1.2878047227859497
19.0,1.3345463275909424
20.0,1.2708408832550049
21.0,1.254410982131958
22.0,1.310957431793213
23.0,1.2361204624176025
24.0,1.2599778175354004
25.0,1.2217293977737427
26.0,1.2468371391296387
27.0,1.1984294652938843
28.0,1.2285962104797363
29.0,1.2145097255706787
30.0,1.1967308521270752
31.0,1.1966357231140137
32.0,1.189338207244873
33.0,1.1915767192840576
34.0,1.1768954992294312
35.0,1.1753848791122437
36.0,1.1683707237243652
37.0,1.1117056608200073
38.0,1.1559655666351318
39.0,1.143059253692627
40.0,1.1469929218292236
41.0,1.1264909505844116
42.0,1.1643946170806885
43.0,1.1537394523620605
44.0,1.0974010229110718
45.0,1.1341607570648193
46.0,1.097793698310852
47.0,1.1323872804641724
48.0,1.0501737594604492
49.0,1.2064251899719238
50.0,1.2628593444824219
51.0,1.3537659645080566
52.0,1.0451940298080444
53.0,1.0456929206848145
54.0,1.0413634777069092
55.0,0.9564223885536194
56.0,0.9649674892425537
57.0,0.996281623840332
58.0,0.9307717084884644
59.0,0.8796051144599915
60.0,0.8691592812538147
61.0,0.8525596261024475
62.0,0.8133704662322998
63.0,0.7391481995582581
64.0,0.7098163962364197
65.0,0.745216965675354
66.0,0.7982082962989807
67.0,0.6933209300041199
68.0,0.5823174118995667
69.0,0.5690577030181885
70.0,0.5631143450737
71.0,0.47944653034210205
72.0,0.4719690680503845
73.0,0.4895603060722351
74.0,0.4360024929046631
75.0,0.41455620527267456
76.0,0.4203142523765564
77.0,0.45036816596984863
78.0,0.46734368801116943
79.0,0.35634416341781616
80.0,0.31990429759025574
81.0,0.37718868255615234
82.0,0.3640238046646118
83.0,0.32312941551208496
84.0,0.28242382407188416
85.0,0.3107798099517822
86.0,0.2665216028690338
87.0,0.295575886964798
88.0,0.3406333923339844
89.0,0.2424607276916504
90.0,0.2937096059322357
91.0,0.21479550004005432
92.0,0.4784117341041565
93.0,0.4028695225715637
94.0,0.45706695318222046
95.0,0.256330668926239
96.0,0.34475451707839966
97.0,0.3330230116844177
98.0,0.36592039465904236
99.0,0.3397940397262573
100.0,0.2811710834503174
101.0,0.2757751941680908
102.0,0.27666640281677246
103.0,0.28963035345077515
104.0,0.256300687789917
105.0,0.2979360818862915
106.0,0.2283630669116974
107.0,0.22999724745750427
108.0,0.2812056243419647
109.0,0.1962800920009613
110.0,0.22520022094249725
111.0,0.21486057341098785
112.0,0.2108575999736786
113.0,0.2186424434185028
114.0,0.19651861488819122
115.0,0.19789937138557434
116.0,0.21205824613571167
117.0,0.20378151535987854
118.0,0.1961195468902588
119.0,0.24489885568618774
120.0,0.18697869777679443
121.0,0.19736087322235107
122.0,0.227188378572464
123.0,0.19045031070709229
124.0,0.19137133657932281
