epoch,ssl_loss
1.0,1.4292302131652832
2.0,1.414435863494873
3.0,1.3976314067840576
4.0,1.370803952217102
5.0,1.365769624710083
6.0,1.3579967021942139
7.0,1.3382794857025146
8.0,1.3113696575164795
9.0,1.2927275896072388
10.0,1.2446954250335693
11.0,1.1735150814056396
12.0,1.1038780212402344
13.0,0.9940521717071533
14.0,0.8468188047409058
15.0,0.7425068616867065
16.0,0.5900090932846069
17.0,0.4531005024909973
18.0,0.3949795365333557
19.0,0.2057158350944519
20.0,0.15951308608055115
21.0,0.10709796845912933
22.0,0.08131749927997589
23.0,0.08094654977321625
24.0,0.10847143828868866
25.0,0.14163640141487122
26.0,0.08072710037231445
27.0,0.08731085062026978
28.0,0.032587409019470215
29.0,0.09187336266040802
30.0,0.0568806529045105
31.0,0.059705719351768494
32.0,0.08142887055873871
33.0,0.05553095042705536
34.0,0.04413797706365585
35.0,0.014155573211610317
36.0,0.008130892179906368
37.0,0.0029040188528597355
38.0,0.3362857401371002
39.0,0.005308940075337887
40.0,0.012043981812894344
41.0,0.022984851151704788
42.0,0.025825656950473785
43.0,0.008103939704596996
44.0,0.01793012209236622
45.0,0.1845734864473343
46.0,0.04986347630620003
47.0,0.01952764391899109
48.0,0.21359162032604218
49.0,0.3593330681324005
50.0,0.0027429312467575073
51.0,0.0008289542165584862
52.0,0.07175353914499283
53.0,0.6657422780990601
54.0,0.1256769299507141
55.0,0.07566113770008087
56.0,0.22671885788440704
57.0,0.21409404277801514
58.0,0.022021234035491943
59.0,0.03161206841468811
60.0,0.1684093028306961
