epoch,train_loss,val_loss,train_acc,val_acc
1.0,1.1076185703277588,1.0956215858459473,0.46666666865348816,0.3333333432674408
2.0,1.0778037309646606,1.0929510593414307,0.46666666865348816,0.3333333432674408
3.0,1.0535489320755005,1.0920634269714355,0.46666666865348816,0.3333333432674408
4.0,1.030432939529419,1.093647837638855,0.46666666865348816,0.3333333432674408
5.0,0.9989163875579834,1.0961464643478394,0.46666666865348816,0.3333333432674408
6.0,0.9842156171798706,1.0945359468460083,0.46666666865348816,0.3333333432674408
7.0,0.9668588638305664,1.0784231424331665,0.46666666865348816,0.3333333432674408
8.0,0.947253942489624,1.0448354482650757,0.46666666865348816,0.3333333432674408
9.0,0.8959864377975464,0.9904544949531555,0.46666666865348816,0.3333333432674408
10.0,0.828464925289154,0.9217644929885864,0.46666666865348816,0.3333333432674408
11.0,0.7673622369766235,0.8429802656173706,0.4888888895511627,0.37037035822868347
12.0,0.730743944644928,0.7518505454063416,0.7555555701255798,0.5185185074806213
13.0,0.6424137353897095,0.6520659923553467,0.9555555582046509,0.8148148059844971
14.0,0.5812156796455383,0.542763352394104,1.0,0.9259259104728699
15.0,0.4854014217853546,0.4321831166744232,1.0,0.9629629850387573
16.0,0.39785176515579224,0.3284560441970825,1.0,0.9629629850387573
17.0,0.33221834897994995,0.2403758019208908,1.0,0.9629629850387573
18.0,0.22650086879730225,0.17084826529026031,1.0,1.0
19.0,0.1613672375679016,0.11988749355077744,1.0,1.0
20.0,0.11134446412324905,0.08334977179765701,1.0,1.0
21.0,0.06157620623707771,0.0565425306558609,1.0,1.0
22.0,0.04014666751027107,0.037615228444337845,1.0,1.0
23.0,0.026913952082395554,0.024758387356996536,1.0,1.0
24.0,0.027914907783269882,0.016054168343544006,1.0,1.0
25.0,0.016440751031041145,0.010725351050496101,1.0,1.0
26.0,0.007235346827656031,0.007187507580965757,1.0,1.0
27.0,0.004925869405269623,0.005070539191365242,1.0,1.0
28.0,0.0028931410051882267,0.0035875667817890644,1.0,1.0
29.0,0.00262053101323545,0.0026185482274740934,1.0,1.0
30.0,0.0012031953083351254,0.0019316688412800431,1.0,1.0
31.0,0.0008339460473507643,0.0014526338782161474,1.0,1.0
32.0,0.0018042356241494417,0.0012194568989798427,1.0,1.0
33.0,0.012616418302059174,0.0019276449456810951,1.0,1.0
34.0,0.0005133247468620539,0.003056864719837904,1.0,1.0
35.0,0.0003773812495637685,0.004749592859297991,1.0,1.0
36.0,0.0005322787328623235,0.007200548425316811,1.0,1.0
37.0,0.00023083039559423923,0.010528646409511566,1.0,1.0
38.0,0.00014476651267614216,0.014785729348659515,1.0,1.0
39.0,0.0005389678990468383,0.019786156713962555,1.0,1.0
40.0,0.00022219067614059895,0.025548603385686874,1.0,1.0
41.0,0.0001732513337628916,0.031750574707984924,1.0,0.9629629850387573
42.0,0.0006527728401124477,0.03779591619968414,1.0,0.9629629850387573
43.0,0.0020475860219448805,0.04122199863195419,1.0,0.9629629850387573
44.0,0.0012634226586669683,0.04357808455824852,1.0,0.9629629850387573
45.0,0.0010227322345599532,0.044859107583761215,1.0,0.9629629850387573
46.0,0.0038012550212442875,0.04252329841256142,1.0,0.9629629850387573
47.0,0.000557944702450186,0.0399305485188961,1.0,0.9629629850387573
48.0,0.0001520957739558071,0.03750476986169815,1.0,0.9629629850387573
49.0,0.0021539144217967987,0.0337003655731678,1.0,0.9629629850387573
50.0,0.00017044950800482184,0.03028574213385582,1.0,0.9629629850387573
51.0,0.0008149004424922168,0.026889551430940628,1.0,0.9629629850387573
52.0,5.474278805195354e-05,0.023998895660042763,1.0,1.0
53.0,0.0002889783354476094,0.021425621584057808,1.0,1.0
54.0,8.828381396597251e-05,0.019232777878642082,1.0,1.0
55.0,0.00010546507110120729,0.017361382022500038,1.0,1.0
56.0,8.157441334333271e-05,0.01577780395746231,1.0,1.0
57.0,0.0007740106666460633,0.014391504228115082,1.0,1.0
