group,feature,direction_for_poison,auroc_raw_high_direction,auroc_oriented_diagnostic,auprc_oriented_diagnostic,clean_mean,poison_mean,standardized_mean_difference
input_spectrum,input_band_1,high,0.9700854700854701,0.9700854700854701,0.8134920634920634,0.038009996024461895,0.10597626989086469,2.2305405834550878
transfer,delta_gain_l1_b1,low,0.05128205128205126,0.9487179487179488,0.7486471861471861,1.6758362696721003,1.0929540793100994,-1.9638890283726547
input_spectrum,input_band_0,low,0.12393162393162394,0.8760683760683761,0.4868658574540927,0.9334051150542039,0.8500191569328308,-1.3747054332505217
structure,log_moment_1,high,0.8333333333333335,0.8333333333333335,0.5142191142191141,0.8151538968086243,0.8927110532919565,1.325430439181522
structure,log_moment_2,high,0.8076923076923077,0.8076923076923077,0.48260073260073255,0.9308720338038909,1.0319480697313945,1.177053313074427
structure,log_moment_0,high,0.8034188034188035,0.8034188034188035,0.360479797979798,0.7338691842861664,0.7796951731046041,1.226685003347427
structure,log_moment_3,high,0.7478632478632479,0.7478632478632479,0.4110248912880492,1.0795464928333576,1.1957385540008545,0.9717345986401181
spectral_relation,spectral_relation_layer_2,high,0.7435897435897435,0.7435897435897435,0.2821374087392394,0.0010800691103936399,0.001555876786975811,0.3777594833831601
transfer,delta_gain_l2_b1,low,0.27350427350427353,0.7264957264957265,0.2310007043753174,4.671274808736948,4.012590368588765,-1.0374454755654516
input_spectrum,input_band_2,high,0.7094017094017094,0.7094017094017094,0.27013090676883783,0.020740051706058856,0.034569328650832176,0.5554403344783282
transfer,delta_gain_l2_b3,high,0.6965811965811965,0.6965811965811965,0.22100236646382693,2.6331348908253207,3.010294278462728,0.48670787458683296
transfer,delta_gain_l2_b0,low,0.31196581196581197,0.688034188034188,0.2094632018545062,3.1461846217131004,2.8700143098831177,-0.6672333514436559
transfer,delta_gain_l1_b0,low,0.32905982905982906,0.670940170940171,0.23976952706791416,1.6245023103860707,1.3087506492932637,-0.7384437195181791
model_js,model_js_layer_2,high,0.6623931623931624,0.6623931623931624,0.19923409923409924,0.0028657929692715886,0.0030300218786578625,0.05788868516274621
transfer,delta_gain_l1_b2,low,0.36324786324786323,0.6367521367521367,0.1879924090643905,1.1140130360921223,0.9649770259857178,-0.3801292876699358
spectral_relation,spectral_relation_layer_1,high,0.6239316239316239,0.6239316239316239,0.445334177531746,0.0054773662561320895,0.018250160617753863,0.9215056580619606
transfer,delta_gain_l2_b2,high,0.5897435897435898,0.5897435897435898,0.18507993400466516,3.0137834426684256,3.2918026447296143,0.35676767072444915
transfer,delta_gain_l1_b3,high,0.5897435897435896,0.5897435897435896,0.17137863598389913,1.1200942259568434,1.2787902355194092,0.40367054554142723
input_spectrum,input_band_3,high,0.5683760683760684,0.5683760683760684,0.2000182748538012,0.007844843713638302,0.009435255798355987,0.19957906537887646
model_js,model_js_layer_1,low,0.49572649572649574,0.5042735042735043,0.17389582095464448,0.0010955867467670871,0.0015080005584119742,0.24170416029745811
