run_dir,status,dataset,seed,device,clean_test_accuracy,triggered_test_asr,poisoned_training_victims,structure_auroc,structure_auprc,structure_fpr_at_95_tpr,structure_precision_fixed_fraction,structure_recall_fixed_fraction,structure_f1_fixed_fraction,structure_precision_oracle_k,structure_recall_oracle_k,structure_f1_oracle_k,input_spectrum_auroc,input_spectrum_auprc,input_spectrum_fpr_at_95_tpr,input_spectrum_precision_fixed_fraction,input_spectrum_recall_fixed_fraction,input_spectrum_f1_fixed_fraction,input_spectrum_precision_oracle_k,input_spectrum_recall_oracle_k,input_spectrum_f1_oracle_k,model_js_auroc,model_js_auprc,model_js_fpr_at_95_tpr,model_js_precision_fixed_fraction,model_js_recall_fixed_fraction,model_js_f1_fixed_fraction,model_js_precision_oracle_k,model_js_recall_oracle_k,model_js_f1_oracle_k,spectral_relation_auroc,spectral_relation_auprc,spectral_relation_fpr_at_95_tpr,spectral_relation_precision_fixed_fraction,spectral_relation_recall_fixed_fraction,spectral_relation_f1_fixed_fraction,spectral_relation_precision_oracle_k,spectral_relation_recall_oracle_k,spectral_relation_f1_oracle_k,transfer_auroc,transfer_auprc,transfer_fpr_at_95_tpr,transfer_precision_fixed_fraction,transfer_recall_fixed_fraction,transfer_f1_fixed_fraction,transfer_precision_oracle_k,transfer_recall_oracle_k,transfer_f1_oracle_k,combined_auroc,combined_auprc,combined_fpr_at_95_tpr,combined_precision_fixed_fraction,combined_recall_fixed_fraction,combined_f1_fixed_fraction,combined_precision_oracle_k,combined_recall_oracle_k,combined_f1_oracle_k
results\gsdd_v01_cora_20260805_132204_seed1027,success,Cora,1027,cpu,0.7540000081062317,1.0,20.0,0.4716666666666666,0.14755724205121679,0.9583333333333334,0.09523809523809523,0.1,0.0975609756097561,0.1,0.1,0.1,0.1966666666666667,0.09101717504012499,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4333333333333333,0.13562652125647612,0.925,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05,0.33666666666666667,0.10650747549989821,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.31666666666666665,0.10329659513552547,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.3120833333333333,0.10408209145557666,0.9666666666666667,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05
results\gsdd_v01_cora_fast_20260805_131150_seed1027,running,Cora,1027,cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gsdd_v01_cora_multiseed_20260805_132258_seed1027,success,Cora,1027,cpu,0.7540000081062317,1.0,20.0,0.4716666666666666,0.14755724205121679,0.9583333333333334,0.09523809523809523,0.1,0.0975609756097561,0.1,0.1,0.1,0.1966666666666667,0.09101717504012499,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4333333333333333,0.13562652125647612,0.925,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05,0.33666666666666667,0.10650747549989821,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.31666666666666665,0.10329659513552547,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.3120833333333333,0.10408209145557666,0.9666666666666667,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05
results\gsdd_v01_cora_multiseed_20260805_132321_seed2026,success,Cora,2026,cpu,0.7250000238418579,1.0,20.0,0.5245833333333333,0.14774052178032981,0.8166666666666667,0.09523809523809523,0.1,0.0975609756097561,0.05,0.05,0.05,0.16541666666666666,0.08730612471159499,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3079166666666666,0.10334790188825291,0.975,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05,0.3466666666666666,0.11358720969444763,0.9333333333333333,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05,0.1475,0.08612601855789302,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.2845833333333333,0.10193179944545633,0.9833333333333333,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05
results\gsdd_v01_cora_multiseed_20260805_132343_seed3407,success,Cora,3407,cpu,0.7680000066757202,1.0,20.0,0.5170833333333333,0.17625840464692888,0.9333333333333333,0.19047619047619047,0.2,0.1951219512195122,0.2,0.2,0.2,0.30208333333333337,0.10589694910729497,0.95,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05,0.41833333333333333,0.12322327896545315,0.925,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05,0.35916666666666663,0.10929962619464823,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.31875,0.11796440797703563,0.9416666666666667,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05,0.37083333333333335,0.1329929302459384,0.9833333333333333,0.047619047619047616,0.05,0.04878048780487805,0.05,0.05,0.05
results\gsdd_v01_smoke_20260805_131128_seed1027,running,synthetic,1027,cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results\gsdd_v01_smoke_20260805_131344_seed1027,success,synthetic,1027,cpu,1.0,1.0,6.0,0.4017094017094017,0.16953857511997045,1.0,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6025641025641025,0.303411306042885,1.0,0.42857142857142855,0.5,0.46153846153846156,0.5,0.5,0.5,0.8376068376068376,0.41437908496732023,0.28205128205128205,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.23966932300265634,0.7948717948717948,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3034188034188034,0.10818644845308839,0.9487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.6324786324786325,0.3194753194753195,0.7948717948717948,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.3333333333333333
results\gsdd_v01_smoke_20260805_132155_seed1027,success,synthetic,1027,cpu,1.0,1.0,6.0,0.4017094017094017,0.16953857511997045,1.0,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6025641025641025,0.303411306042885,1.0,0.42857142857142855,0.5,0.46153846153846156,0.5,0.5,0.5,0.8376068376068376,0.41437908496732023,0.28205128205128205,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.23966932300265634,0.7948717948717948,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3034188034188034,0.10818644845308839,0.9487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.6324786324786325,0.3194753194753195,0.7948717948717948,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.3333333333333333
